pid,zipcode,own_occ,land_sf,yr_built,yr_remod,living_area,num_floors,structure_class,r_bldg_styl,r_roof_typ,r_ext_fin,r_total_rms,r_bdrms,r_full_bth,r_half_bth,r_bth_style,r_kitch,r_kitch_style,r_heat_typ,r_ac,r_fplace,r_ext_cnd,r_ovrall_cnd,r_int_cnd,r_int_fin,r_view,zip,population,pop_density,median_income,city_state,av_total
2680,2132,Y,5500,1925,2004,1364,2,R,CL,G,F,7,3,1,1,M,1,M,W,N,1,G,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",535400
2690,2132,Y,5120,1928,0,1400,2,R,CL,G,M,7,3,1,1,N,1,N,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",418700
2700,2130,N,3548,1900,2012,2603,2,R,CL,G,M,10,5,2,0,M,1,M,W,N,0,A,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",876100
2710,2132,Y,7316,1925,0,1910,1,R,BW,H,W,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",465900
2720,2131,Y,8495,1955,0,1470,2,R,CL,G,W,7,4,1,1,S,1,S,W,N,1,A,A,A,N,G,2131,29826,11505,66735,"Roslindale, MA",407500
2730,2131,Y,4250,1905,0,1824,2,R,CL,G,W,7,3,1,1,S,1,S,W,N,0,F,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",432955.2357
2740,2124,Y,3200,1920,0,1525,2,R,CL,H,W,6,3,1,0,S,1,S,W,N,0,A,A,G,N,A,2124,47783,15913,48841,"Dorchester Center, MA",447400
2750,2136,Y,5720,1910,1989,2168,2,R,CL,G,M,10,3,2,1,S,1,S,W,N,0,A,A,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",425028.6135
2760,2132,Y,4800,1928,2008,1997,2,R,CL,G,W,8,4,1,1,M,1,S,W,N,1,G,G,G,N,A,2132,36314,13251,75446,"Cambridge, MA",626200
2770,2132,Y,4500,1930,2012,1699,2,R,CL,G,M,8,4,1,1,M,1,M,E,N,1,G,G,A,N,A,2132,36314,13251,75446,"Cambridge, MA",570600
2780,2132,Y,5000,1920,1990,1413,2,R,CL,H,W,8,4,1,1,S,1,S,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",442870.5207
2790,2132,N,7600,1956,0,1387,1.5,R,CP,G,M,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",462500
2800,2132,Y,6035,1953,0,1767,2,R,CL,G,W,8,4,1,1,S,1,M,W,N,1,A,G,G,N,A,2132,36314,13251,75446,"Cambridge, MA",597900
2810,2132,Y,6916,1960,0,1615,1.5,R,CP,G,W,6,2,2,0,S,1,S,E,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",399400
2820,2130,Y,7800,1920,0,2468,2,R,CL,G,W,9,4,1,1,S,1,S,W,N,1,G,G,G,N,G,2130,35401,10618,75730,"Jamaica Plain, MA",964600
2830,2136,Y,6000,1930,0,1287,1,R,CP,G,M,6,4,1,0,M,1,N,F,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",336700
2840,2124,Y,7225,1910,0,1620,2,R,CL,G,S,7,3,1,1,S,1,S,F,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",315700
2850,2124,N,2842,1900,0,986,1.5,R,CL,L,F,4,2,1,1,S,1,M,W,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",293500
2860,2131,Y,3100,1910,0,1320,2,R,CL,G,M,7,3,1,1,S,1,S,W,N,0,G,A,A,N,F,2131,29826,11505,66735,"Roslindale, MA",372486.7276
2870,2136,Y,5257,1950,0,1504,1.5,R,CP,G,M,6,3,2,0,S,1,S,W,N,0,G,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",337056.578
2880,2132,Y,6000,1989,0,1800,2,R,CL,G,M,7,3,2,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",478090.7027
2890,2132,Y,6126,1953,0,1341,1.5,R,CP,G,M,7,3,1,1,S,1,S,F,N,1,A,A,G,N,A,2132,36314,13251,75446,"Cambridge, MA",432600
2900,2136,Y,5852,1950,0,864,1,R,RN,G,M,5,1,1,0,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",242060.5174
2910,2131,Y,3120,1900,1989,1681,2,R,CL,G,M,7,4,1,1,M,1,M,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",435705.5544
2920,2124,N,7500,1880,1984,2212,2,R,CL,H,F,11,4,1,1,S,1,S,F,N,1,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",356300
