objectid,seating_interest_sidewalk,restaurant_name,bulding_number,street,borough,zip,business_address,sidewalk_dimensions_length,sidewalk_dimensions_width,sidewalk_dimensions_area,roadway_dimensions_length,roadway_dimensions_width,roadway_dimensions_area,approved_for_sidewalk_seating,approved_for_roadway_seating,qualify_alcohol,time_of_submission
832,sidewalk,NOCELLO,257 west,55,Manhattan,10019,"257 west  55, Manhattan, NY",14,3,42,,,,yes,no,yes,2020-06-19T21:00:00Z
837,sidewalk,Bijan's,79 81,Hoyt street,Brooklyn,11201,"79 81 Hoyt street, Brooklyn, NY",52,12,624,,,,yes,no,yes,2020-06-19T21:07:00Z
843,both,Saigon Shack,114,MacDougal,Manhattan,10012,"114  MacDougal , Manhattan, NY",20,12,240,20,8,160,yes,yes,no,2020-06-19T21:04:00Z
852,both,TRA DI NOI,622,EAST 18TH STREET,Bronx,10458,"622 EAST 18TH STREET, Bronx, NY",27,15,405,27,23,621,yes,yes,yes,2020-06-19T21:03:00Z
854,both,Hot Jalapeno Restaurant,219E,116th,Manhattan,10029,"219E 116th, Manhattan, NY",14,11,154,14,8,112,yes,yes,yes,2020-06-19T20:49:00Z
867,sidewalk,Datommaso,301 w 53,903  8  ave,Manhattan,10019,"301 w 53  903  8  ave, Manhattan, NY",10,8,80,,,,yes,no,yes,2020-06-19T21:10:00Z
885,sidewalk,Gregorys Coffee,327,Park South,Manhattan,10010,"327 Park South, Manhattan, NY",16,7,112,,,,yes,no,no,2020-06-19T21:19:00Z
890,sidewalk,Cowgirl,1078242,519 HUDSON ST  NY,Manhattan,10014,"1078242 519 HUDSON ST  NY, Manhattan, NY",75,7,525,,,,yes,no,yes,2020-06-19T21:15:00Z
893,both,ASHOKA,1718,2 Nd Avenue,Manhattan,10128,"1718  2 Nd Avenue , Manhattan, NY",20,10,200,20,8,160,yes,yes,yes,2020-06-19T20:59:00Z
905,sidewalk,Ateaz Organic Coffee and Tea,1575,1575 second avenue,Manhattan,10028,"1575 1575 second avenue , Manhattan, NY",35,20,700,,,,yes,no,no,2020-06-19T21:22:00Z
921,sidewalk,The Winslow,243,14th,Manhattan,10003,"243  14th , Manhattan, NY",20,9,180,,,,yes,no,yes,2020-06-19T21:23:00Z
924,sidewalk,Majestic Restaurant,709-711,187,Bronx,10458,"709-711 187, Bronx, NY",32,19,608,,,,yes,no,yes,2020-06-19T21:23:00Z
934,sidewalk,Panera Bread,38-01,35th street,Queens,11101,"38-01 35th street, Queens, NY",26,10,260,,,,yes,no,no,2020-06-19T21:19:00Z
942,both,The Hairy Lemon,28/30,Avenue B,Manhattan,10009,"28/30 Avenue B, Manhattan, NY",26,4,104,35,8,280,yes,yes,yes,2020-06-19T21:23:00Z
965,both,Taverna Kyclades Bayside,39-28/30,Bell Blvd,Queens,11361,"39-28/30  Bell Blvd, Queens, NY",38,13,494,38,8,304,yes,yes,yes,2020-06-19T20:25:00Z
966,both,Miss Ada,184,Dekalb,Brooklyn,11205,"184 Dekalb, Brooklyn, NY",27,14,378,27,8,216,yes,yes,yes,2020-06-19T21:29:00Z
972,both,KUM SUNG BBQ,4114042,4007 149TH PLACE,Queens,11354,"4114042 4007 149TH PLACE, Queens, NY",18,15,270,18,8,144,yes,yes,yes,2020-06-19T21:22:00Z
974,both,alfies,800,800 9th Avenue,Manhattan,10019,"800 800 9th Avenue, Manhattan, NY",60,15,900,25,15,375,yes,yes,yes,2020-06-19T21:33:00Z
989,sidewalk,Zatar Cafe & Bistro,1201,1201 8th Ave,Brooklyn,11215,"1201  1201 8th Ave, Brooklyn, NY",18,5,90,,,,yes,no,no,2020-06-19T21:39:00Z
992,roadway,Dorrians redhand,1-1546-49,1616 second ave,Manhattan,10028,"1-1546-49 1616 second ave, Manhattan, NY",,,,100,8,800,no,yes,yes,2020-06-19T21:25:00Z
1003,both,Tito Murphy's,346,West 46th.,Manhattan,10036,"346 West 46th., Manhattan, NY",34,12,408,34,10,340,yes,yes,yes,2020-06-19T21:05:00Z
1012,both,TAKE AWAY AND CAFE INC.,7006,3 RD AVE,Brooklyn,11209,"7006 3 RD AVE, Brooklyn, NY",20,18,360,20,8,160,yes,yes,no,2020-06-19T21:33:00Z
1015,both,Zara Cafe Grill,1995,Hylan,Staten Island,10306,"1995 Hylan, Staten Island, NY",55,15,825,45,8,360,yes,yes,yes,2020-06-19T21:44:00Z
1021,sidewalk,Zatar,1294,1294 Myrtle Ave,Brooklyn,11221,"1294  1294 Myrtle Ave, Brooklyn, NY",14,5,70,,,,yes,no,no,2020-06-19T21:46:00Z
1026,sidewalk,Come Prima Ristorante,903,903 Madison Avenue,Manhattan,10021,"903  903 Madison Avenue, Manhattan, NY",55,13,715,,,,yes,no,yes,2020-06-19T21:45:00Z
1064,sidewalk,Aubergine Cafe,4922,4922 Skillman Ave,Queens,11377,"4922  4922 Skillman Ave, Queens, NY",46,20,920,,,,yes,no,yes,2020-06-19T21:45:00Z
1076,sidewalk,YANKEE TAVERN RESTAURANT,72 EAST,I6I STREET,Bronx,10451,"72 EAST  I6I STREET, Bronx, NY",80,5,400,,,,yes,no,yes,2020-06-19T20:50:00Z
1078,sidewalk,The Wolfhound,3814,38,Queens,11103,"3814 38, Queens, NY",10,13,130,,,,yes,no,yes,2020-06-19T21:42:00Z
1089,sidewalk,Grand Canyon Restaurant,143,Montague St,Queens,11369,"143 Montague St, Queens, NY",11,11,121,,,,yes,no,yes,2020-06-19T21:49:00Z
1091,sidewalk,Tsurutontan Udon Noodle Brasserie,64W,48th,Manhattan,10036,"64W 48th, Manhattan, NY",30,4,120,,,,yes,no,yes,2020-06-19T21:44:00Z
1115,sidewalk,Chanos Cantina,35-55,31st,Queens,11106,"35-55 31st, Queens, NY",24,19,456,,,,yes,no,yes,2020-06-19T22:00:00Z
1127,roadway,Bistro Le Steak,1309,75TH STREET,Manhattan,10021,"1309 75TH STREET, Manhattan, NY",,,,48,8,384,no,yes,yes,2020-06-19T22:07:00Z
1132,sidewalk,coopertown diner,339 1 ave,339 1 ave,Manhattan,10003,"339 1 ave 339 1 ave, Manhattan, NY",24,15,360,,,,yes,no,yes,2020-06-19T22:08:00Z
1135,sidewalk,Gene Bean,2344,Arhtur Avenue,Bronx,10458,"2344  Arhtur Avenue, Bronx, NY",10,10,100,,,,yes,no,no,2020-06-19T22:13:00Z
1139,sidewalk,Safari Restaurant,219,116th street,Manhattan,10026,"219 116th street, Manhattan, NY",19,15,285,,,,yes,no,no,2020-06-19T22:15:00Z
1141,both,Concettina Restaurant,5744,Willets Point Blvd,Queens,11357,"5744 Willets Point Blvd, Queens, NY",17,16,272,12,17,204,yes,yes,yes,2020-06-19T22:10:00Z
1148,both,abaita,145,49th street,Manhattan,10017,"145 49th street, Manhattan, NY",29,15,435,29,10,290,yes,yes,yes,2020-06-19T22:07:00Z
1158,both,Ama Raw Bar,190,12th street ave b,Manhattan,10009,"190  12th street ave b, Manhattan, NY",14,26,364,8,26,208,yes,yes,yes,2020-06-19T22:17:00Z
1179,sidewalk,RIVER DELI restaurant,28 34,COLUMBIA PLACE,Brooklyn,11201,"28 34  COLUMBIA PLACE, Brooklyn, NY",55,4,220,,,,yes,no,yes,2020-06-19T21:12:00Z
1184,sidewalk,court deli restaurant,96,E 161st,Bronx,10451,"96 E 161st, Bronx, NY",30,10,300,,,,yes,no,no,2020-06-19T22:24:00Z
1207,both,The Jones,54,Great Jones,Manhattan,10012,"54 Great Jones, Manhattan, NY",31,8,248,31,8,248,yes,yes,yes,2020-06-19T21:37:00Z
1209,sidewalk,Cassidy's ale house,7502,75th st,Queens,11370,"7502  75th st, Queens, NY",110,14,1540,,,,yes,no,yes,2020-06-19T22:26:00Z
1217,sidewalk,Celeste Restaurant,502,Amsterdam,Manhattan,10024,"502 Amsterdam, Manhattan, NY",14,12,168,,,,yes,no,yes,2020-06-19T22:30:00Z
1268,sidewalk,Rave Restaurant Corp,232,West 48th treet,Manhattan,10036,"232  West 48th treet, Manhattan, NY",33,14,462,,,,yes,no,yes,2020-06-19T22:32:00Z
1272,both,Pepolino,281,281 West Broadway,Manhattan,10013,"281 281 West Broadway, Manhattan, NY",35,6,210,30,8,240,yes,yes,yes,2020-06-19T22:28:00Z
1275,sidewalk,Tsurutontan Udon Noodle Brasserie,21E,16th,Manhattan,10003,"21E 16th, Manhattan, NY",43,7,301,,,,yes,no,yes,2020-06-19T22:46:00Z
1277,both,Polpette 71,71,71 W 71st Street,Manhattan,10023,"71  71 W 71st Street, Manhattan, NY",12,10,120,12,4,48,yes,yes,yes,2020-06-19T22:45:00Z
1334,both,Carmine & Sons Pizzeria Restaurant,356 & 358,Graham Avenue,Brooklyn,11211,"356 & 358 Graham Avenue, Brooklyn, NY",40,15,600,20,8,160,yes,yes,yes,2020-06-19T22:55:00Z
1356,sidewalk,JACQUES BRASSERIE,204,85TH STREET,Manhattan,10028,"204 85TH STREET , Manhattan, NY",65,7,455,,,,yes,no,yes,2020-06-19T23:11:00Z
1360,sidewalk,King grill restaurant,855,East 169th,Bronx,10449,"855 East 169th, Bronx, NY",17,5,85,,,,yes,no,yes,2020-06-19T23:03:00Z
1361,sidewalk,Orion Diner and Grill,395,23st 2ave,Manhattan,10010,"395  23st 2ave, Manhattan, NY",30,20,600,,,,yes,no,yes,2020-06-19T23:07:00Z
1369,both,Svendale Brewing Co,486,Court,Brooklyn,11231,"486 Court, Brooklyn, NY",13,10,130,13,8,104,yes,yes,yes,2020-06-19T23:10:00Z
1370,both,Motorino,510,Columbus,Manhattan,10024,"510 Columbus, Manhattan, NY",18,6,108,18,8,144,yes,yes,yes,2020-06-19T23:02:00Z
1386,sidewalk,Etcetera Etcetera,352,West 44th,Manhattan,10036,"352 West 44th , Manhattan, NY",16,25,400,,,,yes,no,yes,2020-06-19T23:01:00Z
1397,both,International Food House,4762,217 Dyckman Street,Manhattan,10040,"4762 217 Dyckman Street, Manhattan, NY",30,12,360,12,12,144,yes,yes,yes,2020-06-19T20:15:00Z
1399,roadway,Orion Diner and Grill,248,23st ave,Manhattan,10010,"248 23st ave, Manhattan, NY",,,,20,15,300,no,yes,yes,2020-06-19T23:23:00Z
1423,both,BAROSA RESTAURANT,6229-6237,WOODHAVEN BLVD,Queens,11374,"6229-6237 WOODHAVEN BLVD, Queens, NY",63,15,945,63,8,504,yes,yes,yes,2020-06-19T23:26:00Z
1424,sidewalk,CAFEFORNIA MUFFIN COFFEE SHOP CORP.,360,360 MYRTLE AVENUE,Brooklyn,11205,"360 360 MYRTLE AVENUE, Brooklyn, NY",40,5,200,,,,yes,no,no,2020-06-19T23:24:00Z
1426,sidewalk,LA VERITE BAR RESTAURANT & LOUNGE,187-04,187-04 HILLSIDE AVE,Queens,11432,"187-04 187-04 HILLSIDE AVE, Queens, NY",240,48,11520,,,,yes,no,yes,2020-06-19T23:20:00Z
1466,both,Failte,531,29 n 30th n 2nd,Manhattan,10016,"531 29 n 30th n 2nd, Manhattan, NY",30,6,180,30,6,180,yes,yes,yes,2020-06-19T23:41:00Z
1487,both,El trigal bakery and restaurant,9031,37 th ave,Queens,11372,"9031 37 th ave, Queens, NY",58,7,406,46,6,276,yes,yes,no,2020-06-19T23:30:00Z
1554,sidewalk,Gregory's 26 Corner Taverna,26-02,26th street,Queens,11105,"26-02  26th street, Queens, NY",25,14,350,,,,yes,no,yes,2020-06-20T00:05:00Z
1570,sidewalk,Perista Cafe,158,Dyckman,Manhattan,10040,"158  Dyckman, Manhattan, NY",20,30,600,,,,yes,no,no,2020-06-20T00:21:00Z
1589,roadway,Sido Falafel and More,267,72nd,Manhattan,10023,"267  72nd, Manhattan, NY",,,,10,16,160,no,yes,no,2020-06-20T00:27:00Z
1594,both,Sweetcatch Poke,66,Madison,Manhattan,10016,"66 Madison, Manhattan, NY",14,4,56,14,8,112,yes,yes,no,2020-06-20T00:29:00Z
1611,sidewalk,Bierocracy,1223,1223 jackson ave,Queens,11101,"1223 1223 jackson ave, Queens, NY",735,8,5880,,,,yes,no,yes,2020-06-20T00:33:00Z
1615,both,Sam Won Garden,37,32nd Street,Manhattan,10001,"37 32nd Street, Manhattan, NY",25,4,100,25,8,200,yes,yes,yes,2020-06-20T00:38:00Z
1624,both,ESTRELLITA POBLANA,45,WESTCHESTER AVE,Bronx,10461,"45 WESTCHESTER AVE, Bronx, NY",26,7,182,26,8,208,yes,yes,yes,2020-06-20T00:30:00Z
1641,roadway,GMT Tavern,142,142 Bleecker Street,Manhattan,10012,"142 142 Bleecker Street, Manhattan, NY",,,,24,8,192,no,yes,yes,2020-06-20T00:50:00Z
1644,both,Jukai,237,53rd Street,Manhattan,10022,"237  53rd Street , Manhattan, NY",25,2,50,25,8,200,yes,yes,yes,2020-06-20T00:38:00Z
1656,sidewalk,The Lexington Social,1634,E 103 street,Manhattan,10029,"1634 E 103 street, Manhattan, NY",18,17,306,,,,yes,no,yes,2020-06-20T00:31:00Z
1661,sidewalk,Mc Dermott's Pub,2634,East Tremont,Bronx,10461,"2634  East Tremont , Bronx, NY",5,50,250,,,,yes,no,yes,2020-06-20T00:55:00Z
1677,both,Lekka Burger,81,81 Warren Street,Manhattan,10007,"81  81 Warren Street, Manhattan, NY",27,7,189,23,7,161,yes,yes,yes,2020-06-19T23:24:00Z
1685,both,Bar Goto Niban,474,Bergen,Brooklyn,11217,"474 Bergen, Brooklyn, NY",13,15,195,13,8,104,yes,yes,yes,2020-06-20T01:08:00Z
1706,both,Lexington Pizza Parlour,1590,Lexington,Manhattan,10029,"1590 Lexington , Manhattan, NY",20,6,120,18,8,144,yes,yes,yes,2020-06-20T00:13:00Z
1709,sidewalk,CornerHouse BBQ,100,Lincoln,Staten Island,10306,"100 Lincoln , Staten Island, NY",20,9,180,,,,yes,no,yes,2020-06-20T01:22:00Z
1710,both,Henry's End,72,72 Henry St.,Brooklyn,11201,"72 72 Henry St., Brooklyn, NY",20,10,200,6,4,24,yes,yes,yes,2020-06-20T01:21:00Z
8197,sidewalk,Tarboosh cafe & restaurant,7222 5,7222 5 th ave,Brooklyn,11209,"7222 5  7222 5 th ave , Brooklyn, NY",40,8,320,,,,yes,no,no,2020-07-13T21:32:00Z
1716,sidewalk,Famous Famiglia,1248,Lexington,Manhattan,10028,"1248  Lexington , Manhattan, NY",30,2,60,,,,yes,no,no,2020-06-20T01:24:00Z
1726,both,Tacombi,255,Bleecker,Manhattan,10014,"255  Bleecker, Manhattan, NY",62,3,186,62,8,496,yes,yes,yes,2020-06-20T01:31:00Z
1732,both,Cafe Colette,79,Street,Brooklyn,11249,"79  Street, Brooklyn, NY",18,3,54,17,6,102,yes,yes,yes,2020-06-20T01:31:00Z
1736,sidewalk,Tacombi,350,5th Avenue / 33rd St (Side of Building b/w 5&6th),Manhattan,10118,"350 5th Avenue / 33rd St (Side of Building b/w 5&6th), Manhattan, NY",70,6,420,,,,yes,no,yes,2020-06-20T01:38:00Z
1745,sidewalk,SGD TOFU HOUSE,149-06,149-06 41st Ave,Queens,11355,"149-06 149-06 41st Ave, Queens, NY",16,32,512,,,,yes,no,yes,2020-06-20T01:33:00Z
1747,sidewalk,Alnoor Halal Deli,710,710 4th ave,Brooklyn,11232,"710 710 4th ave, Brooklyn, NY",14,7,98,,,,yes,no,no,2020-06-20T01:43:00Z
1764,both,Savvy bistro,710,205 e 94th st,Brooklyn,11216,"710 205 e 94th st, Brooklyn, NY",57,33,1881,36,18,648,yes,yes,yes,2020-06-19T23:59:00Z
1790,both,Bourke street bakery,15,28th street,Manhattan,10016,"15 28th street , Manhattan, NY",38,3,114,23,8,184,yes,yes,yes,2020-06-20T02:05:00Z
1812,sidewalk,Mont Blanc 52,344 346 W,52ND ST,Manhattan,10019,"344 346 W 52ND ST, Manhattan, NY",16,6,96,,,,yes,no,yes,2020-06-20T02:04:00Z
1832,sidewalk,Harlem Hops,2268,Adam Clayton Powell Junior Blvd,Manhattan,10030,"2268 Adam Clayton Powell Junior Blvd, Manhattan, NY",20,6,120,,,,yes,no,yes,2020-06-20T02:07:00Z
1836,sidewalk,Cafe Grumpy,177,Mott,Manhattan,10012,"177 Mott, Manhattan, NY",18,12,216,,,,yes,no,no,2020-06-20T02:40:00Z
1864,sidewalk,ARIS SPORTS BAR RESTAURANT,4514,45 STREET,Brooklyn,11220,"4514 45 STREET , Brooklyn, NY",245,8,1960,,,,yes,no,yes,2020-06-20T02:52:00Z
1873,sidewalk,Dakota Bar,53,72 Nd street,Manhattan,10023,"53 72 Nd street, Manhattan, NY",428,28,11984,,,,yes,no,yes,2020-06-20T02:51:00Z
1885,sidewalk,MaLaLa Chinese,42-04,4202 30th avenue,Queens,11103,"42-04  4202 30th avenue, Queens, NY",37,4,148,,,,yes,no,no,2020-06-20T03:23:00Z
1901,both,"UNICO ""TASTE OF SICILY""",156,156 SULLIVAN STREET,Manhattan,10012,"156 156 SULLIVAN STREET, Manhattan, NY",12,5,60,30,7,210,yes,yes,no,2020-06-20T03:29:00Z
1904,roadway,Fiat cafe,203,Mott,Manhattan,10012,"203 Mott, Manhattan, NY",,,,40,8,320,no,yes,yes,2020-06-20T03:31:00Z
1933,both,Hollywood Diner,574,6th ave of America,Manhattan,10011,"574 6th ave of America, Manhattan, NY",30,16,480,30,4,120,yes,yes,yes,2020-06-20T03:44:00Z
1959,roadway,Caravan of Dreams,405,East 6th,Manhattan,10009,"405 East 6th, Manhattan, NY",,,,21,9,189,no,yes,yes,2020-06-20T04:41:00Z
1960,sidewalk,Jimbo's Bar Restaurant,30-05,30-05 Astoria Blvd.,Queens,11102,"30-05  30-05 Astoria Blvd., Queens, NY",26,18,468,,,,yes,no,yes,2020-06-20T04:47:00Z
1968,both,Lelabar,422,Hudson,Manhattan,10014,"422 Hudson, Manhattan, NY",15,9,135,18,10,180,yes,yes,yes,2020-06-20T05:23:00Z
2044,both,Cobble hill coffee shop,314,Court,Brooklyn,11237,"314 Court , Brooklyn, NY",12,9,108,17,8,136,yes,yes,no,2020-06-20T14:48:00Z
2077,both,Sabor ecuatoriano bakery,40-42 82,Elmhurst NY,Queens,11373,"40-42 82 Elmhurst NY , Queens, NY",15,4,60,15,4,60,yes,yes,no,2020-06-20T16:23:00Z
2081,sidewalk,THE NEST FINE DESSERT,35300060,6672 Fresh Pond Rd,Queens,11385,"035300060 6672 Fresh Pond Rd, Queens, NY",7,10,70,,,,yes,no,no,2020-06-20T16:31:00Z
2093,both,Punto ecuatoriano bakery,86-30,Jackson heights ny,Queens,11372,"86-30 Jackson heights ny, Queens, NY",15,4,60,15,4,60,yes,yes,no,2020-06-20T16:49:00Z
2132,both,EmpanadasMix,8103,Northen blvd,Queens,11372,"8103  Northen blvd, Queens, NY",15,5,75,15,8,120,yes,yes,no,2020-06-20T17:53:00Z
